"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","@P2 TC-S07 — HQ toggle is present and defaults to off","chromium","2026-03-17","skipped","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","4558","@smoke @P2 TC-H03 — All Videos tab displays a video count greater than zero","mobile-chrome","2026-03-17","passed","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","14831","@P1 TC-H06 — Cookie UUID is assigned on first visit","chromium","2026-03-17","passed","2026-03-17","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","1939","@P2 TC-S06 — Default aspect ratio is Landscape","mobile-chrome","2026-03-17","passed","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","3525","@P1 TC-SF01 — Parse Script button is visible and enabled when script is present","mobile-safari","2026-03-17","passed","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","2157","@P2 TC-H07 — After cookie clear, Your Videos tab shows empty state","mobile-chrome","2026-03-17","passed","2026-03-17","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","1","@P1 TC-H01 — Your Videos tab shows only videos matching the current user cookie","firefox","2026-03-17","skipped","2026-03-17","History — Your Videos","history\yourVideos.spec.js","",""
"","4951","@P2 TC-N01 — Clicking Stock Footage nav loads the Stock Footage Generator page","mobile-safari","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","2725","@P1 TC-H06 — UUID in debug panel matches the browser cookie value","webkit","2026-03-16","passed","2026-03-16","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","2701","@P2 TC-H03 — All Videos tab shows videos from multiple different users","mobile-chrome","2026-03-17","passed","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","1","@P3 TC-N02 — Navigation does not cause full page reload (SPA routing)","webkit","2026-03-17","skipped","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","0","@P3 TC-N02 — Navigation does not cause full page reload (SPA routing)","firefox","2026-03-17","skipped","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","1","@P1 TC-SF05b — Empty script: submitting shows validation feedback","chromium","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","0","@P1 TC-SF01 — Script textarea accepts multi-scene screenplay content","webkit","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","2739","@P1 TC-H06 — Cookie UUID is assigned on first visit","mobile-chrome","2026-03-17","passed","2026-03-17","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","4995","@smoke @P1 TC-H02 — Empty state is shown for a new user with no videos","webkit","2026-03-16","passed","2026-03-16","History — Your Videos","history\yourVideos.spec.js","",""
"","1855","@P1 TC-SF01 — Script textarea accepts multi-scene screenplay content","mobile-chrome","2026-03-17","passed","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","0","@P1 TC-H01 — Your Videos tab shows only videos matching the current user cookie","chromium","2026-03-17","skipped","2026-03-17","History — Your Videos","history\yourVideos.spec.js","",""
"","1","@P1 TC-SF01 — Parse Script button is visible and enabled when script is present","firefox","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","1940","@P2 TC-N01 — App logo/title link returns to Studio from any page","mobile-chrome","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","0","@P3 TC-H05 — Refresh button reloads video list without full page navigation","chromium","2026-03-17","skipped","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","1","@P2 TC-S06 — Can switch to Portrait","firefox","2026-03-17","skipped","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","0","@P1 TC-S08b — Empty prompt: submitting shows user-facing validation feedback","webkit","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","0","@P2 TC-SF04 — High Quality warning disappears when toggle is disabled","webkit","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","3449","@P2 TC-N01 — Clicking Stock Footage nav loads the Stock Footage Generator page","webkit","2026-03-16","passed","2026-03-16","Navigation — Header Links","navigation\navigation.spec.js","",""
"","5785","@smoke @P2 TC-H03 — All Videos tab displays a video count greater than zero","mobile-safari","2026-03-17","passed","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","13986","@P2 TC-H03 — All Videos tab shows videos from multiple different users","mobile-safari","2026-03-17","passed","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","7260","@P1 TC-H06 — Cookie UUID is assigned on first visit","firefox","2026-03-16","passed","2026-03-16","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","4960","@P1 TC-H06 — UUID in debug panel matches the browser cookie value","mobile-safari","2026-03-17","failed","2026-03-17","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","1","@P2 TC-H07 — After cookie clear, Your Videos tab shows empty state","firefox","2026-03-17","skipped","2026-03-17","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","12149","@P3 TC-H05 — Refresh button reloads video list without full page navigation","mobile-safari","2026-03-17","passed","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","1814","@P2 TC-S07 — HQ toggle can be disabled after enabling","mobile-chrome","2026-03-17","passed","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","2011","@P2 TC-S07 — HQ toggle can be enabled","mobile-chrome","2026-03-17","passed","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","0","@P2 TC-S06 — Can switch back to Landscape from Portrait","chromium","2026-03-17","skipped","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","0","@P2 TC-SF03 — Settings applied: 12s-portrait-hq","chromium","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","4868","@smoke @P1 TC-H02 — Empty state is shown for a new user with no videos","mobile-safari","2026-03-17","passed","2026-03-17","History — Your Videos","history\yourVideos.spec.js","",""
"","0","@P2 TC-S04 — Value 0 is rejected or clamped to minimum","firefox","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","1897","@P1 TC-S08a — Empty prompt: generate button is disabled","mobile-safari","2026-03-17","passed","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","1","@P2 TC-H04 — First video card contains a cookie ID","chromium","2026-03-17","skipped","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","3819","@P2 TC-SF03 — Settings applied: 4s-landscape-standard","mobile-safari","2026-03-17","passed","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","3797","@P2 TC-SF04 — High Quality warning disappears when toggle is disabled","mobile-safari","2026-03-17","passed","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P1 TC-S03 — Count 1 (minimum (1)) updates generate button label","chromium","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","4250","@smoke @P2 TC-N01 — All three nav links are visible in the header","mobile-safari","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","0","@P2 TC-S07 — HQ toggle can be enabled","firefox","2026-03-17","skipped","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","0","@P2 TC-H04 — First video card contains a cookie ID","webkit","2026-03-17","skipped","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","6","@P2 TC-S06 — Default aspect ratio is Landscape","webkit","2026-03-17","skipped","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","1","@P2 TC-S06 — Can switch back to Landscape from Portrait","webkit","2026-03-17","skipped","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","0","@P2 TC-H07 — Clearing cookies results in a new UUID on revisit","chromium","2026-03-17","skipped","2026-03-17","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","2059","@P2 TC-H07 — Clearing cookies results in a new UUID on revisit","mobile-chrome","2026-03-17","passed","2026-03-17","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","9006","@smoke @P2 TC-H03 — All Videos tab displays a video count greater than zero","webkit","2026-03-16","passed","2026-03-16","History — All Videos","history\allVideos.spec.js","",""
"","0","@P2 TC-S07 — HQ toggle can be disabled after enabling","chromium","2026-03-17","skipped","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","1714","@P2 TC-S04 — Value 6 is rejected or clamped to maximum","mobile-chrome","2026-03-17","passed","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","3224","@P2 TC-N01 — Clicking Stock Footage nav loads the Stock Footage Generator page","firefox","2026-03-16","passed","2026-03-16","Navigation — Header Links","navigation\navigation.spec.js","",""
"","1834","@P2 TC-S06 — Can switch back to Landscape from Portrait","mobile-chrome","2026-03-17","passed","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","1","@P2 TC-H07 — Clearing cookies results in a new UUID on revisit","firefox","2026-03-17","skipped","2026-03-17","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","1757","@P2 TC-N01 — Clicking History nav loads the History page","mobile-chrome","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","11001","@smoke @P2 TC-H03 — All Videos tab displays a video count greater than zero","firefox","2026-03-16","passed","2026-03-16","History — All Videos","history\allVideos.spec.js","",""
"","0","@P1 TC-S03 — Count 3 (default (3)) updates generate button label","firefox","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","1593","@P1 TC-S01 — Prompt textarea accepts input and generate button is present","mobile-chrome","2026-03-17","passed","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","4122","@P2 TC-H07 — After cookie clear, Your Videos tab shows empty state","mobile-safari","2026-03-17","passed","2026-03-17","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","0","@P1 TC-SF01 — Script textarea accepts multi-scene screenplay content","chromium","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","0","@P1 TC-S01 — Generate button label reflects default video count of 3","chromium","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","2383","@P2 TC-S07 — HQ toggle is present and defaults to off","mobile-safari","2026-03-17","passed","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","2851","@P2 TC-H04 — First video card contains a cookie ID","mobile-chrome","2026-03-17","passed","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","3048","@P1 TC-H06 — UUID in debug panel matches the browser cookie value","firefox","2026-03-16","passed","2026-03-16","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","0","@P3 TC-H05 — Refresh button reloads video list without full page navigation","webkit","2026-03-17","skipped","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","1971","@P2 TC-S07 — HQ toggle is present and defaults to off","mobile-chrome","2026-03-17","passed","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","0","@P1 TC-S03 — Count 3 (default (3)) updates generate button label","webkit","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","1","@P3 TC-H05 — Refresh button reloads video list without full page navigation","firefox","2026-03-17","skipped","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","1","@P1 TC-SF05a — Empty script: Parse Script button is disabled","webkit","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","1","@P2 TC-S06 — Default aspect ratio is Landscape","firefox","2026-03-17","skipped","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","0","@P1 TC-S03 — Count 5 (maximum (5)) updates generate button label","chromium","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","0","@smoke @P1 TC-S01 — Studio page loads with correct heading","firefox","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","0","@P2 TC-SF03 — Settings applied: 12s-portrait-hq","firefox","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","2120","@P1 TC-S01 — Generate button label reflects default video count of 3","mobile-safari","2026-03-17","passed","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","1515","@smoke @P1 TC-SF01 — Stock Footage page loads with correct heading","mobile-chrome","2026-03-17","passed","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","0","@P2 TC-S07 — HQ toggle can be disabled after enabling","firefox","2026-03-17","skipped","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","1586","@P2 TC-S04 — Value 6 is rejected or clamped to maximum","mobile-safari","2026-03-17","passed","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","2806","@smoke @P1 TC-H02 — Empty state is shown for a new user with no videos","mobile-chrome","2026-03-17","passed","2026-03-17","History — Your Videos","history\yourVideos.spec.js","",""
